#2 v abc;0\2VABC_27431_01.zip
$#!7;0\__!7_26863_01.zip
Adrenalin;a1\ADRENALI_00133_02.zip
Adresse;a1\ADRESSE_29004_01.zip
Adroit [Preview];a1\ADROIT-_00134_01.zip
Adult Poker;a1\ADULTPOK_11914_01.zip
Adults;a1\ADULTS_11750_01.zip
Adults Only;a1\ADULTSON_19669_01.zip
Advance to Boardwalk;a1\ADVBOARD_09305_01.zip
Advanced Action Movie Simulator;a1\AAMS_14971_02.zip
Advanced Calculations;
Advanced Coloured;a1\ADVANCED_10754_01.zip
Advanced Dungeons & Dragons [Preview];a1\ADVANDD-_00135_01.zip
Advanced Lotto Simulator;a1\ADVLOTTO_09920_01.zip
Advanced Pinball Simulator;a1\ADVPINBS_00136_01.zip
Advanced Space Battle;a1\ADVSPBA0_19071_02.zip
Advanced Swimming Simulator;a1\ASS_17060_01.zip
Advent;a1\ADVENT_25153_01.zip
Adventure;a1\ADVENTU3_24647_02.zip
Adventure;a1\ADVENTU4_22176_01.zip
Adventure;a1\ADVENTUR_09652_01.zip
Adventure;a1\ADVENTU1_11031_01.zip
Adventure - Das Schreckensland;a1\ADVENTSL_09906_02.zip
Adventure - The Ultimate Text Adventure;a1\ADVENTUR_00137_01.zip
Adventure 1 - Cavern of Riches;a1\ADVENT1C_20033_01.zip
Adventure 1 - Cavern of Riches;a1\ADVENT1B_20032_01.zip
Adventure 1 - Cavern of Riches;a1\ADVENT1A_00138_02.zip
Adventure 1 - The Golden Baton;a1\ADVENT01_20390_01.zip
Adventure 10 - Ten Little Indians;a1\ADVENT10_20392_01.zip
Adventure 11 - Waxworks;a1\ADVENT11_20394_01.zip
Adventure 14 - Return to Pirate's Isle;a1\ADVENT14_28197_01.zip
Adventure 2 - The Great Pyramid;a1\ADVENT2B_23379_01.zip
Adventure 2 - The Great Pyramid;a1\ADVENT2_00139_02.zip
Adventure 2 - The Time Machine;a1\ADVENT02_20393_01.zip
Adventure 2000 - Die Jagd nach der Rakete;a1\ADVENT20_00140_01.zip
Adventure 2000 - Die Jagd nach der Rakete;a1\ADVENT20_09212_01.zip
Adventure 3 - Arrow of Death I;a1\ADVENT03_20388_01.zip
Adventure 3 - Haunted Mansion;a1\ADVENT3_00141_02.zip
Adventure 4 - Arrow of Death II;a1\ADVENT04_20389_01.zip
Adventure 5 - Escape from Pulsar 7;a1\ADVENT05_20397_01.zip
